Call_ID,Caller_Number,Receiver_Number,Call_Date,Call_Time,Call_Duration,Call_Type,Call_Cost,Tower_Location,Network_Type
CDR000001,+918787641080,+917826214655,2025-01-02,11:45:16,3036,STD,89.86,Delhi-West,VoLTE
CDR000002,+918522792721,+917281954497,2025-02-11,04:20:29,1977,Local,83.89,Hyderabad,4G
CDR000003,+917470665320,+917262777279,2025-03-02,06:03:16,2698,ISD,40.36,Chennai-North,VoLTE
CDR000004,+919501126447,+917684457904,2025-03-13,19:51:08,1524,Roaming,53.18,Delhi-West,VoLTE
CDR000005,+917032570412,+919456746064,2025-02-03,09:04:52,2753,STD,59.52,Pune,4G
CDR000006,+917535436804,+918355952343,2025-01-17,13:47:53,2119,ISD,105.63,Chennai-North,4G
CDR000007,+919523393728,+917825654569,2025-03-20,07:28:25,1193,Local,40.94,Chennai-North,VoLTE
CDR000008,+918265926384,+917883313304,2025-02-15,11:05:04,2914,Local,109.22,Chennai-North,5G
CDR000009,+919705857866,+919876511833,2025-02-27,17:36:16,3365,STD,41.22,Kolkata-South,5G
CDR000010,+917277560394,+917817146253,2025-02-15,13:43:18,3348,Roaming,35.53,Chennai-North,4G
CDR000011,+917885858200,+918960602653,2025-01-06,09:01:06,3534,ISD,174.75,Delhi-West,VoLTE
CDR000012,+918676549406,+917398606993,2025-01-23,14:59:22,3477,Roaming,42.76,Kolkata-South,VoLTE
CDR000013,+918339951148,+917917199886,2025-02-08,06:16:27,3104,Local,61.39,Mumbai-East,5G
CDR000014,+918219538316,+917912530463,2025-01-26,23:14:48,3410,STD,140.0,Bangalore,VoLTE
CDR000015,+919993452999,+917705352815,2025-01-25,01:10:59,957,Roaming,33.89,Mumbai-East,4G
CDR000016,+917519802807,+919967942813,2025-02-20,04:41:14,2999,Local,40.35,Mumbai-East,VoLTE
CDR000017,+917581531901,+919095036851,2025-01-23,14:17:58,3518,Local,172.22,Delhi-West,5G
CDR000018,+918434928451,+919492637011,2025-02-23,23:07:37,2908,STD,60.45,Chennai-North,4G
CDR000019,+917718546670,+919982801221,2025-01-06,03:18:46,764,STD,25.18,Bangalore,4G
CDR000020,+918384557710,+918638139751,2025-01-09,18:32:56,771,ISD,31.1,Delhi-West,4G
CDR000021,+918017708256,+918179547195,2025-03-22,03:35:43,3340,ISD,83.01,Kolkata-South,4G
CDR000022,+917135592208,+918799049716,2025-02-05,09:25:09,2013,Roaming,29.21,Mumbai-East,VoLTE
CDR000023,+919292752585,+918806043190,2025-01-27,05:21:47,1246,Local,33.57,Kolkata-South,VoLTE
CDR000024,+919438706054,+917947852584,2025-01-24,13:15:04,120,ISD,3.49,Delhi-West,5G
CDR000025,+919287184258,+918927506327,2025-01-31,08:26:09,3536,Local,169.86,Kolkata-South,4G
CDR000026,+918318287637,+917145213029,2025-03-20,01:55:18,2910,Roaming,140.76,Kolkata-South,4G
CDR000027,+918792950968,+919831087805,2025-02-06,03:08:50,959,ISD,21.82,Hyderabad,4G
CDR000028,+919034194962,+917602414407,2025-03-21,23:52:14,944,Roaming,9.44,Chennai-North,4G
CDR000029,+919403492750,+918757044055,2025-01-10,01:39:15,642,ISD,19.78,Kolkata-South,4G
CDR000030,+918978874916,+919282945171,2025-02-15,16:24:04,333,Roaming,7.13,Delhi-West,4G
CDR000031,+917228841725,+918689152686,2025-01-21,13:09:30,1371,Local,49.84,Mumbai-East,4G
CDR000032,+918812026855,+919044813424,2025-03-02,07:51:32,2853,ISD,29.96,Pune,5G
CDR000033,+918042684245,+918355294465,2025-03-19,16:39:57,3190,Roaming,121.03,Hyderabad,4G
